Concentration (uM),6h_35,STD,6h_50,STD,6h_70,STD,6h_100,STD,Avg and STD of 2 datasets
4.5720,426.7741935,26.1857608,7111.451613,434.1179439,,,,,180121_EGFPcalib.xpt
3.9189,407.1612903,25.63832329,6847.66129,447.2336342,,,,,
3.2657,329.3709677,15.30544033,5476.483871,318.6086297,79893.45161,4682.917303,,,
2.6126,259.7096774,16.28626586,4362.951613,285.4202307,63768.1129,4155.073496,,,
1.9594,192.6774194,19.52527112,3171.403226,324.1970542,46480.8871,4879.15084,,,
1.3063,139.9516129,11.42775798,2300.548387,163.8662941,33792.64516,2419.491306,,,
0.6531,47.91935484,5.634044353,808.5967742,82.77711319,11849.22581,1162.392309,,,
0.0000,5.064516129,1.916031278,8.85483871,0.159669273,96.74193548,0.912395847,1574.322581,14.09651583,
